author,title,location,relative_location,remote_url
Rex Beach,The Auction Block,/Users/user/gut-au/ebooks19/1900511h.html,ebooks19/1900511h.html,http://gutenberg.net.au/ebooks19/1900511h.html
Rex Beach,Rainbow's End,/Users/user/gut-au/ebooks19/1900521h.html,ebooks19/1900521h.html,http://gutenberg.net.au/ebooks19/1900521h.html
Rex Beach,The Winds Of Chance,/Users/user/gut-au/ebooks19/1900531h.html,ebooks19/1900531h.html,http://gutenberg.net.au/ebooks19/1900531h.html
Ernest Haycox,Long Storm,/Users/user/gut-au/ebooks19/1900541h.html,ebooks19/1900541h.html,http://gutenberg.net.au/ebooks19/1900541h.html
Rex Beach,Big Brother and Other Stories,/Users/user/gut-au/ebooks19/1900561h.html,ebooks19/1900561h.html,http://gutenberg.net.au/ebooks19/1900561h.html
A. Fielding,Mystery at the Rectory,/Users/user/gut-au/ebooks19/1900571h.html,ebooks19/1900571h.html,http://gutenberg.net.au/ebooks19/1900571h.html
Ernest Haycox,The Border Trumpet,/Users/user/gut-au/ebooks19/1900601h.html,ebooks19/1900601h.html,http://gutenberg.net.au/ebooks19/1900601h.html
Mrs. K. Langloh Parker,More Australian Legendary Tales,/Users/user/gut-au/ebooks19/1900611h.html,ebooks19/1900611h.html,http://gutenberg.net.au/ebooks19/1900611h.html
Ernest Haycox,Bugles in the Afternoon,/Users/user/gut-au/ebooks19/1900621h.html,ebooks19/1900621h.html,http://gutenberg.net.au/ebooks19/1900621h.html
Carolyn Wells,The Affair at Flower Acres,/Users/user/gut-au/ebooks19/1900631h.html,ebooks19/1900631h.html,http://gutenberg.net.au/ebooks19/1900631h.html
Rowland Wright (Carolyn Wells),The Disappearance Of Kimball Webb,/Users/user/gut-au/ebooks19/1900641h.html,ebooks19/1900641h.html,http://gutenberg.net.au/ebooks19/1900641h.html
,,/Users/user/gut-au/ebooks19/1900651h.html,ebooks19/1900651h.html,http://gutenberg.net.au/ebooks19/1900651h.html
Carolyn Wells,Wheels within Wheels,/Users/user/gut-au/ebooks19/1900661h.html,ebooks19/1900661h.html,http://gutenberg.net.au/ebooks19/1900661h.html
A. Fielding,The Case of the Two Pearl Necklaces,/Users/user/gut-au/ebooks19/1900671h.html,ebooks19/1900671h.html,http://gutenberg.net.au/ebooks19/1900671h.html
Carolyn Wells,The Beautiful Derelict,/Users/user/gut-au/ebooks19/1900681h.html,ebooks19/1900681h.html,http://gutenberg.net.au/ebooks19/1900681h.html
Carolyn Wells,The Furthest Fury,/Users/user/gut-au/ebooks19/1900691h.html,ebooks19/1900691h.html,http://gutenberg.net.au/ebooks19/1900691h.html
A. Fielding,The Tall House Mystery,/Users/user/gut-au/ebooks19/1900701h.html,ebooks19/1900701h.html,http://gutenberg.net.au/ebooks19/1900701h.html
Ernest Haycox,Canyon Passage,/Users/user/gut-au/ebooks19/1900721h.html,ebooks19/1900721h.html,http://gutenberg.net.au/ebooks19/1900721h.html
Carolyn Wells,Sleeping Dogs,/Users/user/gut-au/ebooks19/1900731h.html,ebooks19/1900731h.html,http://gutenberg.net.au/ebooks19/1900731h.html
K. Langloh Parker,The Walkabouts Of Wur-Run-Nah,/Users/user/gut-au/ebooks19/1900741h.html,ebooks19/1900741h.html,http://gutenberg.net.au/ebooks19/1900741h.html
Carolyn Wells,Murder in the Bookshop,/Users/user/gut-au/ebooks19/1900751h.html,ebooks19/1900751h.html,http://gutenberg.net.au/ebooks19/1900751h.html
Carolyn Wells,The Omnibus Fleming Stone,/Users/user/gut-au/ebooks19/1900761h.html,ebooks19/1900761h.html,http://gutenberg.net.au/ebooks19/1900761h.html
Ernest Haycox,The Silver Desert,/Users/user/gut-au/ebooks19/1900771h.html,ebooks19/1900771h.html,http://gutenberg.net.au/ebooks19/1900771h.html
Carolyn Wells,The Broken O,/Users/user/gut-au/ebooks19/1900781h.html,ebooks19/1900781h.html,http://gutenberg.net.au/ebooks19/1900781h.html
Ernest Haycox,Action by Night,/Users/user/gut-au/ebooks19/1900791h.html,ebooks19/1900791h.html,http://gutenberg.net.au/ebooks19/1900791h.html
Carolyn Wells,The Daughter of the House,/Users/user/gut-au/ebooks19/1900801h.html,ebooks19/1900801h.html,http://gutenberg.net.au/ebooks19/1900801h.html
Ernest Haycox,Good Marriage and Other Stories,/Users/user/gut-au/ebooks19/1900811h.html,ebooks19/1900811h.html,http://gutenberg.net.au/ebooks19/1900811h.html
Carolyn Wells,The Bronze Hand,/Users/user/gut-au/ebooks19/1900821h.html,ebooks19/1900821h.html,http://gutenberg.net.au/ebooks19/1900821h.html
Carolyn Wells,The Crime in the Crypt,/Users/user/gut-au/ebooks19/1900831h.html,ebooks19/1900831h.html,http://gutenberg.net.au/ebooks19/1900831h.html
Carolyn Wells,Murder Will In,/Users/user/gut-au/ebooks19/1900841h.html,ebooks19/1900841h.html,http://gutenberg.net.au/ebooks19/1900841h.html
Carolyn Wells,Crime Tears On,/Users/user/gut-au/ebooks19/1900851h.html,ebooks19/1900851h.html,http://gutenberg.net.au/ebooks19/1900851h.html
Edward Westermarck,Christianity and Morals,/Users/user/gut-au/ebooks19/1900861h.html,ebooks19/1900861h.html,http://gutenberg.net.au/ebooks19/1900861h.html
Carolyn Wells,Who Killed Caldwell?,/Users/user/gut-au/ebooks19/1900871h.html,ebooks19/1900871h.html,http://gutenberg.net.au/ebooks19/1900871h.html
Carolyn Wells,The Tapestry Room Murder,/Users/user/gut-au/ebooks19/1900881h.html,ebooks19/1900881h.html,http://gutenberg.net.au/ebooks19/1900881h.html
Jack McLaren,The White Witch,/Users/user/gut-au/ebooks19/1900891h.html,ebooks19/1900891h.html,http://gutenberg.net.au/ebooks19/1900891h.html
Carolyn Wells,The Doorstep Murders,/Users/user/gut-au/ebooks19/1900901h.html,ebooks19/1900901h.html,http://gutenberg.net.au/ebooks19/1900901h.html
Carolyn Wells,The Skeleton at the Feast,/Users/user/gut-au/ebooks19/1900911h.html,ebooks19/1900911h.html,http://gutenberg.net.au/ebooks19/1900911h.html
Carolyn Wells,Collected Short Stories by Carolyn Wells,/Users/user/gut-au/ebooks19/1900921h.html,ebooks19/1900921h.html,http://gutenberg.net.au/ebooks19/1900921h.html
Ernest Haycox,A Rider of the High Mesa,/Users/user/gut-au/ebooks19/1900931h.html,ebooks19/1900931h.html,http://gutenberg.net.au/ebooks19/1900931h.html
A. Fielding,The Charteris Mystery,/Users/user/gut-au/ebooks19/1900941h.html,ebooks19/1900941h.html,http://gutenberg.net.au/ebooks19/1900941h.html
A. Fielding,The Wedding-Chest Mystery,/Users/user/gut-au/ebooks19/1900951h.html,ebooks19/1900951h.html,http://gutenberg.net.au/ebooks19/1900951h.html
Stewart Edward White,The Grampus and the Weasel,/Users/user/gut-au/ebooks19/1900961h.html,ebooks19/1900961h.html,http://gutenberg.net.au/ebooks19/1900961h.html
Marjorie Bowen,Child of Chequer'd Fortune,/Users/user/gut-au/ebooks19/1900971h.html,ebooks19/1900971h.html,http://gutenberg.net.au/ebooks19/1900971h.html
Jean Jacques Rousseau,The Reveries of the Solitary Walker,/Users/user/gut-au/ebooks19/1900981h.html,ebooks19/1900981h.html,http://gutenberg.net.au/ebooks19/1900981h.html
Marjorie Bowen,The Knot Garden: Some Old Fancies Reset,/Users/user/gut-au/ebooks19/1900991h.html,ebooks19/1900991h.html,http://gutenberg.net.au/ebooks19/1900991h.html
Rosa Praed (Mrs. Campbell Praed),The Soul of Countess Adrian,/Users/user/gut-au/ebooks19/1901001h.html,ebooks19/1901001h.html,http://gutenberg.net.au/ebooks19/1901001h.html
Ernest Haycox,The Feudists,/Users/user/gut-au/ebooks19/1901011h.html,ebooks19/1901011h.html,http://gutenberg.net.au/ebooks19/1901011h.html
Carolyn Wells,The Vanity Case,/Users/user/gut-au/ebooks19/1901021h.html,ebooks19/1901021h.html,http://gutenberg.net.au/ebooks19/1901021h.html
William Bradley,A Voyage to New South Wales,/Users/user/gut-au/ebooks19/1901031h.html,ebooks19/1901031h.html,http://gutenberg.net.au/ebooks19/1901031h.html
Ernest Haycox,Chaffee of Roaring Horse,/Users/user/gut-au/ebooks19/1901041h.html,ebooks19/1901041h.html,http://gutenberg.net.au/ebooks19/1901041h.html
Carolyn Wells,More Lives Than One,/Users/user/gut-au/ebooks19/1901051h.html,ebooks19/1901051h.html,http://gutenberg.net.au/ebooks19/1901051h.html
Carlton Dawe,Leathermouth,/Users/user/gut-au/ebooks19/1901061h.html,ebooks19/1901061h.html,http://gutenberg.net.au/ebooks19/1901061h.html
Fergus Hume,The Whispering Lane,/Users/user/gut-au/ebooks19/1901071h.html,ebooks19/1901071h.html,http://gutenberg.net.au/ebooks19/1901071h.html
Frank L Packard,Coogan's Last Run,/Users/user/gut-au/ebooks19/1901081h.html,ebooks19/1901081h.html,http://gutenberg.net.au/ebooks19/1901081h.html
