title,author,full_author,full_title,url_html,url_text,url_zip,url_pdf,url_other
The Empty House,Fred Merrick White,,,http://gutenberg.net.au/ebooks10/1000331h.html,http://gutenberg.net.au/ebooks10/1000331.txt,,,
The Corner House,Fred Merrick White,,,http://gutenberg.net.au/ebooks10/1000321h.html,http://gutenberg.net.au/ebooks10/1000321.txt,,,
The Lost Galleon,Katharine Tynan,,,http://gutenberg.net.au/ebooks10/1000311h.html,http://gutenberg.net.au/ebooks10/1000311.txt,,,
The Case for the Crown,Fred Merrick White,,,http://gutenberg.net.au/ebooks10/1000301h.html,http://gutenberg.net.au/ebooks10/1000301.txt,,,
Mr Gurney and Mr Slade,Warwick Deeping,,,http://gutenberg.net.au/ebooks10/1000291h.html,http://gutenberg.net.au/ebooks10/1000291.txt,,,
Harvey Garrard's Crime,E Phillips Oppenheim,,,http://gutenberg.net.au/ebooks10/1000281h.html,http://gutenberg.net.au/ebooks10/1000281.txt,,,
Gabriel Samara,E Phillips Oppenheim,,,http://gutenberg.net.au/ebooks10/1000271h.html,http://gutenberg.net.au/ebooks10/1000271.txt,,,
The House in the Forest,Katharine Tynan,,,http://gutenberg.net.au/ebooks10/1000261h.html,http://gutenberg.net.au/ebooks10/1000261.txt,,,
Michael Godwin's Xmas Box,Katharine Tynan,,,http://gutenberg.net.au/ebooks10/1000251h.html,http://gutenberg.net.au/ebooks10/1000251.txt,,,
The Law of the Land,Fred Merrick White,,,http://gutenberg.net.au/ebooks10/1000241h.html,http://gutenberg.net.au/ebooks10/1000241.txt,,,
A Front of Brass,Fred Merrick White,,,http://gutenberg.net.au/ebooks10/1000231h.html,http://gutenberg.net.au/ebooks10/1000231.txt,,,
A Secret Service,Fred Merrick White,,,http://gutenberg.net.au/ebooks10/1000221h.html,http://gutenberg.net.au/ebooks10/1000221.txt,,,
The Red Speck,Fred Merrick White,,,http://gutenberg.net.au/ebooks10/1000211h.html,,,,
Bones of the River,Edgar Wallace,,,http://gutenberg.net.au/ebooks10/1000201h.html,http://gutenberg.net.au/ebooks10/1000201.txt,,,
Contango,James Hilton,,,http://gutenberg.net.au/ebooks10/1000191h.html,http://gutenberg.net.au/ebooks10/1000191.txt,,,
Dr Thorndyke Intervenes,R Austin Freeman,,,http://gutenberg.net.au/ebooks10/1000181h.html,http://gutenberg.net.au/ebooks10/1000181.txt,,,
Dr. Thorndyke's Crime File,R Austin Freeman,,,http://gutenberg.net.au/ebooks10/1000171h.html,http://gutenberg.net.au/ebooks10/1000171.txt,,,
The Uttermost Farthing,R Austin Freeman,,,http://gutenberg.net.au/ebooks10/1000161h.html,http://gutenberg.net.au/ebooks10/1000161.txt,,,
Dr Thorndyke Investigates,R Austin Freeman,,,http://gutenberg.net.au/ebooks10/1000151h.html,http://gutenberg.net.au/ebooks10/1000151.txt,,,
The Garden of Fear,Robert Ervin Howard,,,http://gutenberg.net.au/ebooks10/1000141h.html,,,,
The Road,Warwick Deeping,,,http://gutenberg.net.au/ebooks10/1000131h.html,http://gutenberg.net.au/ebooks10/1000131.txt,,,
The Mystery of Angelina Frood,R Austin Freeman,,,http://gutenberg.net.au/ebooks10/1000121h.html,http://gutenberg.net.au/ebooks10/1000121.txt,,,
The Fortunes of Captain Blood,Rafael Sabatini,,,http://gutenberg.net.au/ebooks10/1000111h.html,http://gutenberg.net.au/ebooks10/1000111.txt,,,
Madame Storey Intervenes,Hulbert Footner,,,http://gutenberg.net.au/ebooks10/1000101h.html,http://gutenberg.net.au/ebooks10/1000101.txt,,,
Madame Storey's Way,Hulbert Footner,,,http://gutenberg.net.au/ebooks10/1000091h.html,http://gutenberg.net.au/ebooks10/1000091.txt,,,
The King's Messenger,Rafael Sabatini,,,,http://gutenberg.net.au/ebooks10/1000081.txt,,,
Main Street,Sinclair Lewis,,,http://gutenberg.net.au/ebooks10/1000071h.html,http://gutenberg.net.au/ebooks10/1000071.txt,,,
Babbitt,Sinclair Lewis,,,http://gutenberg.net.au/ebooks10/1000061h.html,http://gutenberg.net.au/ebooks10/1000061.txt,,,
Knight Without Armour,James Hilton,,,http://gutenberg.net.au/ebooks10/1000051h.html,http://gutenberg.net.au/ebooks10/1000051.txt,,,
The Great Impersonation,E Phillips Oppenheim,,,http://gutenberg.net.au/ebooks10/1000041h.html,http://gutenberg.net.au/ebooks10/1000041.txt,,,
To You Mr Chips,James Hilton,,,http://gutenberg.net.au/ebooks10/1000031h.html,http://gutenberg.net.au/ebooks10/1000031.txt,,,
Murder at Monte Carlo,E Phillips Oppenheim,,,http://gutenberg.net.au/ebooks10/1000021h.html,http://gutenberg.net.au/ebooks10/1000021.txt,,,
Falsehood in War-time,Arthur Ponsonby,,,,http://gutenberg.net.au/ebooks10/1000011.txt,,,
And Now Goodbye,James Hilton,,,http://gutenberg.net.au/ebooks09/0901081h.html,http://gutenberg.net.au/ebooks09/0901081.txt,,,
Early Days in North Queensland,Edward Palmer,,,http://gutenberg.net.au/ebooks09/0901071h.html,http://gutenberg.net.au/ebooks09/0901071.txt,,,
